tMs,heapUsedBytes,heapUsedMB
0,4886128,4.66
100,6138080,5.85
200,6533480,6.23
300,7121560,6.79
400,6584032,6.28
500,6054016,5.77
600,5720104,5.46
700,6774072,6.46
800,5891944,5.62
900,6422280,6.12
1000,6976224,6.65
1301,7119992,6.79
# baseline=4886128 max=7121560 delta=2235432 limit=52428800 writtenBytes=1572864000 targetBytes=1572864000 verdict=PASS
