tMs,heapUsedBytes,heapUsedMB
0,8504328,8.11
100,9342616,8.91
200,9204088,8.78
300,8914648,8.50
400,8754352,8.35
500,8743216,8.34
600,8318904,7.93
700,8126136,7.75
800,11091376,10.58
900,10189968,9.72
1000,8843728,8.43
1100,10803128,10.30
1405,10641752,10.15
# baseline=8504328 max=11091376 delta=2587048 limit=52428800 writtenBytes=1572864000 targetBytes=1572864000 verdict=PASS
